*test row do not delete*,Department of Unit Tests,TRAIN,,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Unit Tests,TRAIN,,,past,
*test row do not delete*,Department of Unit Tests,TRAIN,,,far_future,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,2_current,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,far_future,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,past,
*test row do not delete*,Department of Other Unit Tests,,UPCOM2,,future_2,
,CENTER FOR UNIV STUDIES AND PROGRAMS    ,PREMAJOR (BOTHELL)      ,,,,,
,CENTER FOR UNIV STUDIES AND PROGRAMS    ,EXTND PREMAJOR (BOTHELL),,,,,
,CHEMICAL ENGINEERING                    ,CHEMICAL ENGINEERING    ,,,sea_cheme,Yes,
,CHEMICAL ENGINEERING                    ,CHEMICAL ENGR: NME      ,,,sea_cheme,Yes,
,CHEMICAL ENGINEERING                    ,,,CHEMICAL ENGINEERING    ,sea_cheme,Yes,
,CHEMICAL ENGINEERING                    ,,,CHEMICAL ENGR (NAN&MOLE),sea_cheme,Yes,
,CHEMICAL ENGINEERING                    ,,,ENGINEERING (CHEMICAL)  ,sea_cheme,Yes,
,CHEMISTRY                               ,BIOCHEMISTRY            ,,,uwchem,Yes,http://depts.washington.edu/chem/newsevents/eventsall.html
,CHEMISTRY                               ,CHEMISTRY               ,,,uwchem,Yes,http://depts.washington.edu/chem/newsevents/eventsall.html
,CHEMISTRY                               ,CHEMISTRY (ACS)         ,,,uwchem,Yes,http://depts.washington.edu/chem/newsevents/eventsall.html
,CHEMISTRY                               ,,CHEMISTRY               ,,uwchem,Yes,http://depts.washington.edu/chem/newsevents/eventsall.html
,CHEMISTRY                               ,,,CHEMISTRY               ,uwchem,Yes,http://depts.washington.edu/chem/newsevents/eventsall.html
