"University Medical Center, Wings Ee (UMEE)",http://www.washington.edu/maps/?UMEE,"47.649283,-122.307024"
"University Medical Center, Wings Nn (UMNN)",http://www.washington.edu/maps/?UMNN,"47.649615,-122.307056"
"University Medical Center, Wings Nw (UMNW)",http://www.washington.edu/maps/?UMNW,"47.649895,-122.308155"
"University Medical Center, Wings Se (UMSE)",http://www.washington.edu/maps/?UMSE,"47.649122,-122.307266"
"University Medical Center, Wings Ss (UMSS)",http://www.washington.edu/maps/?UMSS,"47.649247,-122.307768"
"University Medical Center, Wings Sw (UMSW)",http://www.washington.edu/maps/?UMSW,"47.649427,-122.307879"
"University Medical Center,Cc (UMCC)",http://www.washington.edu/maps/?UMCC,"47.649411,-122.307336"
University of Washington Club (FAC),http://www.washington.edu/maps/?FAC,"47.655595319638,-122.3041500172"
University Of Washington Medical Center (UMEC),http://www.washington.edu/maps/?UMEC,"47.648866188178,-122.30628316931"
University Of Washington Tower Building C (UWTC),http://www.washington.edu/maps/?UWTC,"47.660267929606,-122.315136"
University Of Washington Tower Building O (UWTO),http://www.washington.edu/maps/?UWTO,"47.660809383055,-122.315119"
University Of Washington Tower Building T (UWTT),http://www.washington.edu/maps/?UWTT,"47.660695417445,-122.31463354233"
University Transportation Center (UTC),http://www.washington.edu/maps/?UTC,"47.652795814514,-122.31313574471"
Urban Horticulture Field House (UHF),http://www.washington.edu/maps/?UHF,"47.656502653824,-122.2888902037"
"UW Medical Center, Wing EA (UMEA)",http://www.washington.edu/maps/?UMEA,"47.648908158562,-122.30676492988"
"UW Medical Center, Wing NE (UMNE)",http://www.washington.edu/maps/?UMNE,"47.649190038654,-122.30659326851"
"UW Medical Center, Wing SA - Montlake Tower (UMSA)",http://www.washington.edu/maps/?UMSA,"47.64894429712,-122.30733355819"
Washington Commons (UWTS),http://www.washington.edu/maps/?UWTS,"47.660157738477,-122.31463917791"
Washington Park Arboretum (LNDMK-8),http://www.washington.edu/maps/?LNDMK-8,"47.639822131615,-122.2945125991"
Waterfront Activities Center (WAC),http://www.washington.edu/maps/?WAC,"47.648586227759,-122.2999692037"
West Receiving Station (WRS),http://www.washington.edu/maps/?WRS,"47.653670227056,-122.31252454233"
Wilcox Hall (WIL),http://www.washington.edu/maps/?WIL,"47.651860454613,-122.30460091534"
William H. Foege Bioengineering (BIOE),http://www.washington.edu/maps/?BIOE,"47.652465772779,-122.31254308465"
William H. Foege Genome Sciences (GNOM),http://www.washington.edu/maps/?GNOM,"47.651919,-122.31314881349"
William H. Gates Hall (LAW),http://www.washington.edu/maps/?LAW,"47.65917018968,-122.31096318651"
Wilson Annex (WLA),http://www.washington.edu/maps/?WLA,"47.651401682112,-122.30519545767"
Wilson Ceramic Laboratory (WCL),http://www.washington.edu/maps/?WCL,"47.651679,-122.30493283069"
Winkenwerder Annex (WNX),http://www.washington.edu/maps/?WNX,"47.6511929096,-122.30654364418"
Winkenwerder Forest Sciences Laboratory (WFS),http://www.washington.edu/maps/?WFS,"47.651501818874,-122.30691164418"
Women's Fastpitch Softball Building (WSB),http://www.washington.edu/maps/?WSB,"47.650416582983,-122.29992616931"
